[2018-01-02 09:36:00,886][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:36:05,886][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:36:10,886][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:36:15,887][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:36:20,887][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:36:25,887][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:36:30,887][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:36:35,887][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:36:40,888][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:36:45,888][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:36:50,888][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:36:55,888][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:00,888][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:05,889][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:10,889][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:15,889][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:20,889][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:25,889][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:30,889][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:35,890][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:40,890][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:45,890][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:50,890][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:37:55,890][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:00,891][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:05,891][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:10,891][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:15,891][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:20,891][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:25,891][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:30,891][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:35,892][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:40,892][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:45,892][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:50,892][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:38:55,892][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:00,892][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:05,892][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:10,893][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:15,893][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:20,893][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:25,893][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:30,893][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:35,894][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:40,894][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:45,894][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:50,894][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:39:55,894][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:40:00,894][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:40:05,895][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:40:10,895][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:40:15,895][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:40:20,895][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
